Instructor,Rating,Would Take Again,Difficulty,Tags
Chinary Ung,4/5,100%,1,"Respected, Online Savvy"
Oscar Antonio Gutierrez,N/A,N/A,N/A,
Erin Truesdell Hill,4/5,100%,3.4,"Get ready to read, Tough grader, Participation matters, Amazing lectures, Clear grading criteria"
Stephanie H Jed,3.8/5,93%,1.7,"Caring, Respected, Accessible outside class, Inspirational, Get ready to read"
Andrew David,3.8/5,0%,3.6,"Tough grader, Test heavy, Skip class? You won't pass., Clear grading criteria, Would take again"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Michael Perry,2.4/5,34%,1.7,"Tough grader, Gives good feedback, So many papers, Caring, Graded by few things"
Wade Douglas Lindenberger,5/5,100%,2.3,"Caring, Inspirational, Respected, Clear grading criteria, Amazing lectures"
Fred E. Rose,5/5,87%,4.9,"Get ready to read, Test heavy, Tough grader, Skip class? You won't pass., Lecture heavy"
Shannon Butler,4/5,74%,3.8,"Participation matters, Clear grading criteria, Test heavy, Lecture heavy, Accessible outside class"
Kathryn A Walkiewicz,4.5/5,100%,3.2,"Get ready to read, Graded by few things, Accessible outside class, Skip class? You won't pass., Amazing lectures"
James Andreoni,3.4/5,N/A,3.3,None
Nicholas A Antipa,4.5/5,100%,3.5,"Caring, Respected, Test heavy, Online Savvy"
Mark Anthony Herzik,3.7/5,56%,3.9,"Lecture heavy, Caring, EXTRA CREDIT, Clear grading criteria, Accessible outside class"
Alistair B Russell,5/5,100%,2.5,"Amazing lectures, Inspirational, Caring, Graded by few things"
David O. Brink,3.4/5,80%,2.9,"Get ready to read, Clear grading criteria, Gives good feedback, Accessible outside class, Caring"
Eric Watkins,4/5,50%,3.6,"Get ready to read, Tough grader, Skip class? You won't pass., Lots of homework, Lecture heavy"
Carl Findley,4.8/5,86%,2.6,"Participation matters, Get ready to read, Amazing lectures, Hilarious, Caring"
Elizabeth A Komives,3.8/5,62%,3.3,"Caring, Respected, Lots of homework, Hilarious, Test heavy"
Jordan M Rose,4.5/5,90%,3,"Amazing lectures, Graded by few things, Get ready to read, Lecture heavy, Tough grader"
Julio Barreiro Guerrero,2.4/5,100%,4.4,"Tough grader, Lots of homework, Test heavy, Participation matters, Hilarious"
Jian Luo,3.7/5,N/A,2,None
Raymond A de Callafon,2.7/5,0%,3.4,"Get ready to read, Tough grader, Skip class? You won't pass., Test heavy"
Anya Gallaccio,3.3/5,N/A,1.8,None
Liangfang Zhang,N/A,N/A,N/A,
Leonard Emerson Porter,3.5/5,82%,3.4,"Caring, Test heavy, Lots of homework, Respected, Clear grading criteria"
Geoffrey Michael Ganzberger,3.5/5,93%,3.6,"Caring, Tough grader, Test heavy, Amazing lectures, Accessible outside class"
Erica M.,2/5,60%,3.5,"Tough grader, Group projects, Lots of homework, Lecture heavy, Skip class? You won't pass."
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
James T Kadonaga,4.4/5,100%,2.5,"Respected, Clear grading criteria, Test heavy, Amazing lectures, Would take again"
Kaare Strom,3.7/5,64%,3.1,"Get ready to read, Would take again, Clear grading criteria, Tough grader, Lecture heavy"
Cecilia Laurel Moss,1.8/5,0%,3,"Get ready to read, Lecture heavy, Tough grader, Participation matters, Skip class? You won't pass."
Rachel Rebecca Haberstroh,4.6/5,N/A,1.6,None
Jana Fortier,4.1/5,84%,2.8,"Gives good feedback, Get ready to read, Participation matters, Respected, Amazing lectures"
Angela J. Yu,2.6/5,56%,3.1,"Get ready to read, Lots of homework, Lecture heavy, Participation matters, EXTRA CREDIT"
Stephen W.,4.1/5,100%,3,"Skip class? You won't pass., Tough grader, Get ready to read, Participation matters, Amazing lectures"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Zoran Radic,3.3/5,86%,3.9,"Tough grader, Skip class? You won't pass., Caring, Get ready to read, Tests are tough"
Patrick Philip Mercier,2.8/5,50%,3.8,"Lots of homework, Hilarious, Group projects, Amazing lectures, Inspirational"
Laurence B. Milstein,4.2/5,100%,3.9,"Skip class? You won't pass., Amazing lectures, Graded by few things"
Adrian Borsa,5/5,100%,2.3,"Inspirational, Caring, Respected, Accessible outside class, Amazing lectures"
Stacie Nicole Vos,3.5/5,54%,4.4,"Get ready to read, Participation matters, So many papers, Lots of homework, Tough grader"
Jeff Shovlowsky Bowman,4.5/5,0%,3.9,"Get ready to read, Gives good feedback, Tough grader, Amazing lectures, Clear grading criteria"
David Saintillan,4.5/5,72%,4,"Tough grader, Amazing lectures, Lots of homework, Lecture heavy, Get ready to read"
Brendon Patrick Rhoades,4.5/5,80%,2.9,"Respected, Inspirational, Amazing lectures, Lecture heavy, Accessible outside class"
Shane Boyd McClain,1/5,0%,5,"Tough grader, Skip class? You won't pass., Graded by few things"
Edward Jay Wang,2/5,N/A,3,"EXTRA CREDIT, Clear grading criteria, Lots of homework"
Jeff Tayman,2.9/5,100%,3.5,None
Sarah Miranda Aarons,4.1/5,100%,2.1,"Respected, Lots of homework, Tough grader, Skip class? You won't pass., Group projects"
Chelsea Danielle Painter,5/5,100%,3,"Clear grading criteria, Respected, Accessible outside class"
Lakshmi N Chilukuri,4.1/5,50%,3.1,"Skip class? You won't pass., Would take again, Lots of homework, Hilarious, Caring"
Neil Smith,4.6/5,80%,3.5,"Lots of homework, Caring, Respected, Accessible outside class, Skip class? You won't pass."
Brooke Elizabeth Pickett,4.4/5,95%,2.3,"Caring, Clear grading criteria, Amazing lectures, Participation matters, Test heavy"
Rajesh K. Gupta,2.3/5,N/A,4,None
Ivan T Evans,4.3/5,67%,2.8,"Caring, Would take again, Respected"
Grace Jun,3.8/5,75%,3,"Group projects, Caring, Participation matters, Inspirational, Hilarious"
Eric Allen,4.8/5,100%,2.5,"Amazing lectures, Hilarious, Clear grading criteria, Inspirational, Caring"
Daniel Charles Ries,5/5,100%,1,"Group projects, Respected, Accessible outside class"
Lisa Voula,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Pavel Arkadjevich Pevzner,2.8/5,0%,3.9,"Lots of homework, Tough grader, Skip class? You won't pass., Participation matters, Get ready to read"
Raja S,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Marcus K,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Thomas Chan,4.6/5,85%,3.1,"Participation matters, Amazing lectures, Hilarious, EXTRA CREDIT, Lots of homework"
Allison Evans,4.1/5,75%,3.9,"Get ready to read, Test heavy, Lots of homework, Tough grader, Clear grading criteria"
Ariana Ruiz,5/5,100%,2.6,"Get ready to read, Participation matters, Gives good feedback, Caring, Amazing lectures"
Tiange Zhou,4.6/5,100%,2.2,"Caring, EXTRA CREDIT, Accessible outside class, Gives good feedback"
Darrel Steven Cohen,4.3/5,100%,3.3,"Skip class? You won't pass., Hilarious, Respected, Get ready to read, Graded by few things"
Ndapandula Nakashole,3.5/5,67%,2.8,None
Alexander Groisman,2.6/5,50%,3.4,"Test heavy, Lots of homework, Lecture heavy, Clear grading criteria, Tough grader"
Stefan G. Llewellyn Smith,2.4/5,0%,4.1,"Tough grader, Skip class? You won't pass., Gives good feedback, Lots of homework"
Till Sebastian Harter,3/5,50%,4.3,"Lots of homework, Get ready to read, Tough grader, Skip class? You won't pass., Beware of pop quizzes"
Katharine Cezo,4.8/5,90%,3.1,"Caring, Participation matters, Gives good feedback, Tough grader, Inspirational"
Christine J. Alvarado,4.6/5,97%,3,"Amazing lectures, Participation matters, Lots of homework, Gives good feedback, Caring"
Celine Joana,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Becca Rose,4.5/5,90%,3,"Amazing lectures, Graded by few things, Get ready to read, Lecture heavy, Tough grader"
Zilu Ma,3.6/5,62%,3.1,"Lecture heavy, Caring, Accessible outside class, Tough grader, Test heavy"
Veronica Martinez-Matsuda,4.3/5,86%,2.7,"Get ready to read, Caring, Gives good feedback, Participation matters, So many papers"
Pei-Chia Chen,4.9/5,100%,2.5,"Caring, Participation matters, Amazing lectures, Clear grading criteria, Gives good feedback"
Toni Tong Gui,2.8/5,100%,4.4,"Tough grader, Test heavy, Get ready to read"
Mathieu Gregoire,2.9/5,100%,2.9,"Gives good feedback, Lots of homework, Caring, Respected"
Saiba Varma,4.5/5,75%,3.4,"Get ready to read, Inspirational, Caring, Skip class? You won't pass., Tough grader"
Makeba Jones,5/5,100%,1.5,"Clear grading criteria, Respected, Inspirational, Amazing lectures, Caring"
Fleur Ferguson,2.6/5,54%,4.3,"Test heavy, Lecture heavy, Get ready to read, Graded by few things, Tough grader"
Ery Arias-Castro,2.9/5,67%,3.4,"Skip class? You won't pass., Tough grader, Lots of homework, Respected, Lecture heavy"
Carla Kelso Harting,4.8/5,100%,1.6,"Participation matters, Caring, Gives good feedback, EXTRA CREDIT, Clear grading criteria"
Joseph Engelberg,4/5,100%,3,"Gives good feedback, Lots of homework, Lecture heavy"
Katherine Chelsea Neipris,3/5,50%,3.5,"Participation matters, Skip class? You won't pass., Gives good feedback, So many papers, Caring"
Rita Marie Lauria,4.2/5,100%,2.1,"Gives good feedback, Participation matters, Hilarious, Caring, Respected"
Kartik Seshadri,3.6/5,50%,2.4,"Tough grader, Participation matters"
Julius C,1.5/5,0%,4,"Get ready to read, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Anthony Michael Anderson,3.3/5,100%,3.1,"Tough grader, Participation matters, Clear grading criteria, Skip class? You won't pass., EXTRA CREDIT"
Karen Lee Shelby,3.7/5,50%,3.4,"Get ready to read, Amazing lectures, Tough grader, Gives good feedback, So many papers"
Casey J Wall,2.6/5,N/A,4.1,None
David Wiens,4/5,100%,3.8,"Get ready to read, Tough grader, Clear grading criteria, Gives good feedback, Participation matters"
Garrison W Cottrell,2/5,30%,4.9,"Lots of homework, Tough grader, Group projects, Get ready to read, Participation matters"
Tamara R. Smyth,1.8/5,13%,3.8,"Skip class? You won't pass., Caring, Tests? Not many, Gives good feedback, Respected"
Julia Megan,4.8/5,100%,2.7,"Caring, Get ready to read, Clear grading criteria, Would take again, Gives good feedback"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Lorraine Pillus,4.5/5,100%,3.9,"Caring, Graded by few things, Accessible outside class"
Camille E Campion,4.3/5,75%,2.3,"Inspirational, Caring, Tough grader, Participation matters, Skip class? You won't pass."
Gerald M. Hendrickson,4.6/5,100%,3,"Amazing lectures, Get ready to read, Respected, Clear grading criteria, Participation matters"
Kensy A Cooperrider,4.8/5,100%,3,"Clear grading criteria, Lecture heavy, Test heavy, Accessible outside class, Participation matters"
Vincent James Short,5/5,N/A,1,"Tests? Not many, Would take again, Respected"
Teresa Isabel Hernandez Naval,3.1/5,N/A,4,"Get ready to read, Tests? Not many, Would take again"
Seth J Hill,4.3/5,95%,2.5,"Respected, Clear grading criteria, Get ready to read, Would take again, Lecture heavy"
Geoffroy Tobe,4.3/5,93%,3,"Get ready to read, EXTRA CREDIT, Amazing lectures, Lecture heavy, Respected"
Gabriel Sunday,5/5,97%,3.4,"Accessible outside class, Amazing lectures, Caring, Clear grading criteria, EXTRA CREDIT"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Drew A. Hall,3.1/5,60%,4,"Tough grader, Lots of homework, Skip class? You won't pass., Tests are tough, Gives good feedback"
Kam S Arnold,2.3/5,22%,3.8,"Test heavy, Lots of homework, Accessible outside class, Tough grader, Get ready to read"
Alex Minh,1/5,0%,3,"Tough grader, Accessible outside class"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Emi Eguchi,N/A,N/A,N/A,
Linnea Lorene Wilder,3.6/5,78%,3,"Clear grading criteria, Get ready to read, Lecture heavy, EXTRA CREDIT, Graded by few things"
Jacob James Keller,3.9/5,89%,2.6,"Participation matters, Gives good feedback, Get ready to read, Skip class? You won't pass., Amazing lectures"
Alexander D Huezo,5/5,100%,3,"Get ready to read, Participation matters, Clear grading criteria, Gives good feedback, Inspirational"
Alana Shuster,4.3/5,100%,2.6,"Hilarious, Participation matters, Skip class? You won't pass., Clear grading criteria, Gives good feedback"
Joshua Mason Jones,4.8/5,76%,2.8,"Clear grading criteria, EXTRA CREDIT, Gives good feedback, Participation matters, Skip class? You won't pass."
Sheng Zhong,2/5,0%,1.2,"Caring, Test heavy, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Loreto Montero Munoz,3.8/5,86%,3.5,"Get ready to read, Lecture heavy, Participation matters, Caring, Lots of homework"
Francesco Paesani,5/5,100%,3.6,"Caring, Respected, Amazing lectures, Inspirational, Accessible outside class"
Alon Orlitsky,2.8/5,50%,4.3,"Lots of homework, Tough grader, Skip class? You won't pass., Lecture heavy, Test heavy"
Richard T Carson,2.3/5,0%,3,"Get ready to read, Clear grading criteria, Would take again, Graded by few things"
Nicholas Sebastia Boechler,4.3/5,100%,3,"Gives good feedback, Inspirational, Respected"
Finley McGlade,3.9/5,40%,3.6,"Get ready to read, Lecture heavy, Skip class? You won't pass., Tough grader, Beware of pop quizzes"
Alexander Lawther Taylor,3.5/5,N/A,3.2,None
Melisa Casumbal,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
Daniel J. Donoghue,4.8/5,86%,1.9,"Group projects, Inspirational, Respected, Test heavy, Amazing lectures"
Sylvia Lee,2.8/5,100%,3,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Stephan Anagnostaras,3.9/5,80%,3,"EXTRA CREDIT, Clear grading criteria, Lecture heavy, Tough grader, Hilarious"
Brett T Kolesnik,1.9/5,32%,4.6,"Lots of homework, Test heavy, Tough grader, Lecture heavy, Get ready to read"
Richard J. Arneson,3/5,0%,3.4,"Graded by few things, Get ready to read, Participation matters, Skip class? You won't pass., Beware of pop quizzes"
Daniel T,4.5/5,100%,2.3,"Hilarious, Beware of pop quizzes"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Kayoko F Ross,4/5,67%,3.3,"Participation matters, Skip class? You won't pass., Lots of homework, Caring, Clear grading criteria"
Teresa Sanchez,4.4/5,100%,1.9,"Participation matters, Get ready to read, EXTRA CREDIT, Clear grading criteria, Gives good feedback"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Jerry I Tustaniwskyj,3.8/5,45%,4.6,"Tough grader, Lecture heavy, Graded by few things, Skip class? You won't pass., Test heavy"
Alex Buyanin,3.3/5,53%,4,"Tough grader, EXTRA CREDIT, Accessible outside class, Lots of homework, Lecture heavy"
Patricia A. Rincon,4.9/5,67%,2.2,"Inspirational, Caring, Respected, Participation matters, Group projects"
Catalina Reyes Gonzalez,4.4/5,64%,4.5,"Lecture heavy, Caring, Test heavy, Tough grader, Graded by few things"
Michael Gordon Allen,4.9/5,N/A,1.5,None
Donald Paul Rutherford,4.5/5,67%,2.7,"Get ready to read, Respected, Graded by few things, Tough grader, Participation matters"
Caren Lynn,2/5,100%,3.3,"Clear grading criteria, Test heavy, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Wei Xiong,5/5,100%,3.8,"Amazing lectures, Tough grader, Gives good feedback, Inspirational, Lots of homework"
Songzi Du,5/5,100%,1.8,"Respected, Caring"
Phoebe Malan Bronstein,3.8/5,77%,3,"Participation matters, Get ready to read, Gives good feedback, So many papers, Accessible outside class"
Carolyn M. Kurle,4.9/5,100%,2.6,"Amazing lectures, Respected, Clear grading criteria, Would take again, Participation matters"
Alisa Huffaker,4.3/5,89%,3.5,"Clear grading criteria, Caring, Lecture heavy, EXTRA CREDIT, Amazing lectures"
William O'Brien,4.3/5,80%,2.7,"Inspirational, Hilarious, Get ready to read, Graded by few things, Lecture heavy"
Daniel Patrick Gonzales,3.1/5,34%,2.4,"Participation matters, Lecture heavy, Tests? Not many, Gives good feedback, Hilarious"
Kailey Nicole Giordano,3.8/5,75%,3.2,"Get ready to read, Gives good feedback, Caring, Participation matters, Skip class? You won't pass."
Brett Stalbaum,3.5/5,N/A,3.3,"Lecture heavy, Would take again, Gives good feedback, Beware of pop quizzes, Respected"
Babette Mangolte,1.8/5,15%,3.4,"Tough grader, Get ready to read, Skip class? You won't pass., Participation matters, Lecture heavy"
Joel David Palhegyi,4.4/5,79%,2.9,"Lecture heavy, Graded by few things, Amazing lectures, Clear grading criteria, Caring"
Joseph Pasquale,4.9/5,84%,4.5,"Amazing lectures, Respected, Caring, Tough grader, Inspirational"
Olga Lid Olivas Hernandez,4.8/5,100%,2.2,"Clear grading criteria, Caring, Gives good feedback, Get ready to read, Participation matters"
Cain Edie-Michell,4.2/5,100%,3.1,"Hilarious, Accessible outside class, Clear grading criteria, Caring, Skip class? You won't pass."
Maysa Nichter,5/5,100%,2.4,"Caring, Accessible outside class, Inspirational, Gives good feedback, Amazing lectures"
Bruce K Driver,4/5,50%,2.3,"Amazing lectures, Clear grading criteria, Respected, Test heavy, Accessible outside class"
Chuchu Wang,3.3/5,60%,3.6,"Lots of homework, EXTRA CREDIT, Test heavy, Tough grader, Skip class? You won't pass."
Jurgen P.,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Richard D. Norris,4.3/5,100%,3.1,"Clear grading criteria, Caring, Gives good feedback, Accessible outside class"
Steven W. Miller,2.1/5,21%,4.3,"Tough grader, Test heavy, Lecture heavy, Skip class? You won't pass., Graded by few things"
Kathleen Ann Davis,N/A,N/A,N/A,
Xiaohua Huang,2.6/5,N/A,3,None
Kathleen Hedges,5/5,100%,2.3,"Clear grading criteria, Caring, Amazing lectures, Inspirational, Participation matters"
Maria Del Guillermoprieto,N/A,N/A,N/A,
Shelley Halpain,2.6/5,29%,3.5,"Lots of homework, Beware of pop quizzes, Get ready to read, Group projects, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Pria Lauren Daniel,5/5,100%,1.8,"Clear grading criteria, EXTRA CREDIT, Gives good feedback, Respected, Participation matters"
Brian M Zid,4.3/5,89%,3.3,"Clear grading criteria, Caring, Amazing lectures, Accessible outside class, Lecture heavy"
Asa Mendelsohn,N/A,N/A,N/A,
Anna Christina Louisa Mai,N/A,N/A,N/A,
Ji Yun Jung,5/5,100%,3,"Gives good feedback, EXTRA CREDIT, Caring, Participation matters, Clear grading criteria"
Federica Izzo,2.9/5,80%,2.5,"Caring, Graded by few things, Test heavy, Participation matters, Group projects"
Kenji Nomura,2.5/5,50%,2.5,"Skip class? You won't pass., Lecture heavy, Graded by few things"
Chandler Elizabeth Puritty,4.9/5,100%,1.3,"Inspirational, Hilarious, Group projects, Respected, Caring"
Bill Lin,4.3/5,N/A,2.7,"Tough grader, Skip class? You won't pass., Caring, Respected, Group projects"
Ekaterini Semendeferi,2.9/5,N/A,3.1,None
Huai Li,5/5,100%,2.1,"Inspirational, Hilarious, Caring, Respected, Gives good feedback"
Jungyoung Kim,3.1/5,0%,3.8,"Tough grader, Amazing lectures, Lots of homework"
Alison Coil,3.3/5,88%,3.1,"Caring, Clear grading criteria, Inspirational, Participation matters, Amazing lectures"
Adam J. Engler,5/5,100%,2,"Clear grading criteria, Caring, Respected"
Zal Navroze Phiroz,3.7/5,84%,3.1,"Respected, Accessible outside class, Skip class? You won't pass., Tough grader, Participation matters"
Rodolphe Jazzar,5/5,100%,3.3,"EXTRA CREDIT, Clear grading criteria, Caring, Accessible outside class, Amazing lectures"
Niall Ivan Twohig,5/5,100%,2.9,"Respected, Gives good feedback, Caring, Get ready to read, Amazing lectures"
James J. Leichter,2/5,0%,5,"Get ready to read, Lecture heavy"
Jacqueline A Siapno,1/5,0%,4,Skip class? You won't pass.
Lin Chao,4/5,47%,2.8,"Graded by few things, Test heavy, Amazing lectures, Lecture heavy, Tough grader"
Jack Jerry,3.8/5,45%,4.6,"Tough grader, Lecture heavy, Graded by few things, Skip class? You won't pass., Test heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
John B Kosmatka,3.5/5,0%,3.7,"Clear grading criteria, Lots of homework, Get ready to read, Participation matters, Tough grader"
Bailey Miyeon Choi,2.5/5,25%,4.8,"Participation matters, Skip class? You won't pass., Lots of homework, Tough grader, Lecture heavy"
Elizabeth Jenkins,3.1/5,N/A,2.8,None
Vanshan Wright,1/5,0%,3.5,"Skip class? You won't pass., Tough grader, Test heavy, Graded by few things"
Matthew Ryan Banghart,1.6/5,19%,4.8,"Test heavy, Skip class? You won't pass., Tough grader, Get ready to read, EXTRA CREDIT"
Gilberto Mosqueda,3.8/5,N/A,2.5,Lots of homework
Yen Espiritu,4.3/5,75%,3,"Get ready to read, Inspirational, Graded by few things, Accessible outside class, Respected"
Emily Roxworthy,4.3/5,N/A,1.9,"Get ready to read, Caring"
Gabrielle Anastasia Jones,5/5,100%,3,"Participation matters, Lots of homework, So many papers"
Patricia Stone,4.3/5,100%,2.6,"Participation matters, Gives good feedback, Caring"
Michael Joseph Sailor,5/5,100%,3,"Hilarious, Lecture heavy, Graded by few things"
David A. Holway,3.8/5,67%,3,"Tough grader, Clear grading criteria, Caring, Amazing lectures, Tests? Not many"
Christopher Wills,3.7/5,100%,3,"Tough grader, Tests are tough, Amazing lectures, Tests? Not many, Caring"
Lucien Spect,N/A,N/A,N/A,
John Scott McCartney,5/5,100%,3,"Inspirational, Respected, Accessible outside class"
Geert W Schmid-Schoenbein,3.4/5,50%,3.9,"Lots of homework, Respected, Lecture heavy"
Sascha Hans Christian Duttke,N/A,N/A,N/A,
Michael J McKay,3.4/5,55%,3.5,"Group projects, Get ready to read, Tough grader, Lecture heavy, Caring"
Pak Yeung,3.9/5,64%,3.5,"Lecture heavy, Lots of homework, Test heavy, Clear grading criteria, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Michael Thomas Tolley,2.9/5,0%,3.4,"Tough grader, Lots of homework, Hilarious, Would take again, Inspirational"
Celeste Cristine Pilegard,5/5,96%,2.5,"Amazing lectures, Hilarious, EXTRA CREDIT, Caring, Clear grading criteria"
Dilsa Deniz,1/5,0%,3,None
Andrea Carolina Montejo,3.5/5,0%,3.5,"Get ready to read, Lots of homework, Lecture heavy"
Jing Chen,4/5,84%,2.1,"Clear grading criteria, Caring, Lecture heavy, Amazing lectures, Respected"
Hyunjung Lee,N/A,N/A,N/A,
Jeremy Prestholdt,4.7/5,100%,2.2,"Respected, Get ready to read, Amazing lectures, Inspirational, Caring"
Min-gi Chung,5/5,100%,3,"Caring, Lecture heavy, Accessible outside class"
Alyssa Ashleigh Brown,N/A,N/A,N/A,
Ian William Nasser Jones,5/5,100%,2,"Participation matters, Clear grading criteria, Lecture heavy"
Gerald Scott,2.1/5,N/A,4.1,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Charles L. Perrin,3.9/5,60%,3.8,"Get ready to read, Tough grader, Lots of homework, Skip class? You won't pass., Graded by few things"
James E Rauch,3.8/5,60%,3.3,"Respected, Inspirational, Lecture heavy, Tough grader, Get ready to read"
Drew Ellen Hoffman,4.4/5,84%,3,"Caring, Accessible outside class, Amazing lectures, Clear grading criteria, Participation matters"
Pascal Gagneux,4.8/5,100%,2.4,"Amazing lectures, Inspirational, Respected, Test heavy, Graded by few things"
Madison Kearsley Greenstone,3/5,0%,2,Accessible outside class
Roger L. Reynolds,4/5,N/A,2.7,None
Adam R. Bowers,4.3/5,75%,2.9,"Amazing lectures, Respected, Lots of homework, Tough grader, Clear grading criteria"
Parinaz Ezzati,5/5,53%,4,"Amazing lectures, Lots of homework, Inspirational, Caring, Test heavy"
Kelly Marie,4.2/5,87%,3.7,"Tough grader, Gives good feedback, Get ready to read, Participation matters, Hilarious"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Kellie Ann,2.7/5,62%,3.4,"Tough grader, Participation matters, Get ready to read, Gives good feedback, So many papers"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Louis Jean Dunn,3.5/5,50%,2.9,"Skip class? You won't pass., Lots of homework, Clear grading criteria, Gives good feedback, Lecture heavy"
Mirle Rabinowitz Bussell,5/5,86%,2.9,"Respected, Clear grading criteria, Inspirational, Amazing lectures, Would take again"
Emily Ronay Johnston,4.5/5,94%,2.6,"Get ready to read, Caring, Accessible outside class, Clear grading criteria, Inspirational"
Dino Dinco,2.6/5,60%,4.5,"Participation matters, Lots of homework, Tough grader, Skip class? You won't pass., Hilarious"
Andrew Michael Dewaard,4.5/5,100%,2,"Group projects, Amazing lectures, Inspirational, Caring, Respected"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Benjamin Ciotti,3.4/5,0%,2.3,None
Paul Niehaus,3.8/5,0%,3.2,"Tough grader, Skip class? You won't pass., Gives good feedback"
Michael Frazier,4.8/5,100%,2.4,"Gives good feedback, Participation matters, Caring, Amazing lectures, Clear grading criteria"
Jonah Peter Gray,4.1/5,67%,3,"Get ready to read, Clear grading criteria, Graded by few things, Participation matters, Respected"
Alexandro Abraham Segade,3/5,100%,2.8,"Group projects, Graded by few things, Amazing lectures, Inspirational"
Leonardo Jamel,4.4/5,73%,3.6,"Lots of homework, Respected, Beware of pop quizzes, Caring, Test heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Maureen Danielle Macmanus,3.3/5,50%,3.5,"Group projects, Lots of homework, Respected, Get ready to read, Inspirational"
Kirstyn Courtney,5/5,100%,2,"Gives good feedback, Accessible outside class, Clear grading criteria, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Michael Tauber,2.8/5,38%,4.3,"Get ready to read, Test heavy, Accessible outside class, Tough grader, Skip class? You won't pass."
Rosie Cano,3.4/5,N/A,3.8,"Tough grader, Lots of homework"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Steven Briggs,4.1/5,N/A,2,None
Kyoko Sato,3.8/5,100%,2.3,"Gives good feedback, Skip class? You won't pass., Amazing lectures, Clear grading criteria, Lots of homework"
Alexander Chen,4.6/5,100%,2.9,"Gives good feedback, Respected, Caring, EXTRA CREDIT, Skip class? You won't pass."
Steven Adler,3.1/5,0%,3.4,"Tough grader, Graded by few things, So many papers"
Jorge Ramirez,4.5/5,100%,3.5,"Get ready to read, Participation matters, Gives good feedback, Respected, Lecture heavy"
Heather Nicole Paulson,4.5/5,100%,2.5,"Gives good feedback, Participation matters, Caring, Get ready to read, Respected"
Suhan Zhong,1.5/5,0%,4.5,"Tough grader, EXTRA CREDIT, Lecture heavy"
Branislav Slantchev,4.1/5,67%,3.6,"Amazing lectures, Skip class? You won't pass., Hilarious, Tough grader, Would take again"
Radoslav Fulek,3.5/5,59%,3,"Respected, Caring, Accessible outside class, Clear grading criteria, Lots of homework"
Kevin Xiaoguo Zhu,2.3/5,34%,4,"Tough grader, Participation matters, Group projects, Clear grading criteria"
Jason G Fleischer,2.3/5,59%,3.1,"Lots of homework, Group projects, Tough grader, Caring, Accessible outside class"
Efim I Zelmanov,3.3/5,20%,2.5,"Hilarious, Get ready to read, Skip class? You won't pass., Inspirational, Lots of homework"
Rachel Mayberry,3.3/5,100%,3,"Get ready to read, Participation matters, Lecture heavy, Lots of homework, Caring"
Amber Puha,2.5/5,0%,3.9,Lots of homework
Andy M. Lamey,4.3/5,62%,3.3,"Get ready to read, Participation matters, Amazing lectures, Respected, Inspirational"
Jennifer Rose Carr,3/5,60%,3.5,"Skip class? You won't pass., Get ready to read, Lots of homework, Lecture heavy, Participation matters"
James G Branson,1.7/5,14%,3.7,"Get ready to read, Participation matters, EXTRA CREDIT, Lecture heavy, Tough grader"
David Joseph Bigham,5/5,100%,1.5,"Clear grading criteria, Participation matters, Caring, Lecture heavy"
